page_id,wikidata_id,film,release_date,box_office,runtime,languages,countries,genres,reviewScores,awardsReceived,awardsNominated,capitalCost
45029649,Q18811584,12 Golden Ducks,2015-01-01T00:00:00Z,,,Cantonese,Hong Kong,['comedy'],[''],[''],[''],
44246896,Q18388990,Lockdown,2015-09-11T00:00:00Z,,90,English,United States of America,['action'],[''],[''],[''],
45240665,Q18977471,13 Minutes,2015-01-01T00:00:00Z,,113,German,Germany,"['drama', 'war', 'biographical']","['76%', '6.5/10', '58/100']",[''],['European Film Award for Best Actor'],
64861761,Q43303219,14+,2015-01-01T00:00:00Z,173616,106,Russian,Russia,"['drama', 'teen', 'romance']",[''],[''],[''],
43220483,Q18128968,"Once Again, 20s",2015-01-01T00:00:00Z,,,Standard Mandarin,People's Republic of China,"['romance', 'fantasy']",[''],[''],[''],
47847689,Q19609043,21 Nights with Pattie,2015-01-01T00:00:00Z,,115,French,France,['comedy drama'],[''],[''],['IFFR audience award'],
43312519,Q17515646,22g Tussi Ghaint Ho,2015-01-01T00:00:00Z,,,Punjabi,India,['comedy'],[''],[''],[''],
47562604,Q20856808,25 April,2015-01-01T00:00:00Z,,85,English,New Zealand,['animated documentary'],[''],[''],[''],
47304358,Q20735522,31st October,2015-01-01T00:00:00Z,,,Hindi,India,['drama'],"['0%', '3.5/10']",[''],[''],
49343784,Q22678018,32aam adhyayam 23aam vaakyam,2015-06-19T00:00:00Z,,,Malayalam,India,['thriller'],[''],[''],[''],
39393760,Q15727192,The 33,2014-01-01T00:00:00Z,24902723,127,English,"Colombia, Chile, United States of America","['drama', 'survival']","['5.5/10', '48%', '55/100']",[''],[''],26000000
45633602,Q19579844,36 Vayadhinile,2015-01-01T00:00:00Z,,115,Tamil,India,['comedy drama'],[''],[''],[''],
44839303,Q18642424,45 Years,2015-01-01T00:00:00Z,,93,English,United Kingdom,['drama'],"['97%', '94/100', '8.6/10']",['European Film Award for Best Actress'],"['Academy Award for Best Actress', 'European Film Award for Best Actor', 'European Film Award for Best Actress', 'European Film Award for Best Screenwriter']",
41384863,Q15613906,49-O,2015-01-01T00:00:00Z,,,Tamil,India,[''],[''],[''],[''],
48430388,Q21307487,50 Feet from Syria,2015-01-01T00:00:00Z,,,English,United States of America,['documentary'],[''],[''],[''],
49746809,Q23755499,69 and Dead,2015-07-08T00:00:00Z,,,English,Ireland,[''],[''],[''],[''],
45292056,Q19007151,88,2015-01-01T00:00:00Z,,88,English,Canada,['thriller'],[''],[''],[''],
62239707,Q60845229,88:88,2015-01-01T00:00:00Z,,68,,Canada,['documentary'],[''],[''],[''],
46742065,Q20022598,90 Minutes in Heaven,2015-01-01T00:00:00Z,4842699,121,English,United States of America,"['drama', 'biographical']","['4.6/10', '26%']",[''],[''],5000000
43553437,Q18343393,100 Days of Love,2015-01-01T00:00:00Z,,153,Malayalam,India,['romantic comedy'],[''],[''],[''],
52107255,Q28312306,The 100 Years Show,2016-01-01T00:00:00Z,,,,,['documentary'],[''],[''],[''],
49682937,Q21787529,125 Years Memory,2015-11-13T00:00:00Z,,132,Japanese,"Turkey, Japan","['historical', 'drama']",[''],[''],[''],15000000
47105052,Q20649134,144,2015-11-27T00:00:00Z,,,Tamil,India,['comedy'],[''],[''],[''],
47336311,Q20735523,365 Days,2015-01-01T00:00:00Z,,,Telugu,India,['drama'],[''],[''],[''],
46513638,Q19871077,400 Days,2015-01-01T00:00:00Z,,90,English,United States of America,[],"['4.2/10', '22%']",[''],[''],
45087862,Q18811585,600 Miles,2015-02-06T00:00:00Z,282456,85,Spanish,Mexico,['drama'],"['7.3/10', '94%']",[''],['International Submission to the Academy Awards'],
52301536,Q27991227,808,2015-03-13T00:00:00Z,,107,English,United States of America,['documentary'],"['100%', '7/10']",[''],[''],
53131735,Q28859377,1000 – Oru Note Paranja Katha,2015-02-13T00:00:00Z,,,Malayalam,India,['action thriller'],[''],[''],[''],
47317789,Q20814415,1001 Inventions and the World of Ibn Al-Haytham,2015-12-13T00:00:00Z,,,English,United Kingdom,['educational'],[''],[''],[''],
74459329,Q120954586,1400,2015-01-01T00:00:00Z,,,,Singapore,[''],[''],[''],[''],
44777236,Q18701759,1915,2015-01-01T00:00:00Z,,82,English,United States of America,['drama'],"['5.2/10', '40%']",[''],[''],
47056210,Q20127610,1944,2015-01-01T00:00:00Z,,100,Estonian,"Estonia, Finland",['war'],[''],[''],['International Submission to the Academy Awards'],1500000
50725773,Q25136741,1964,2015-01-01T00:00:00Z,,,English,United States of America,['documentary'],[''],[''],[''],
47409725,Q20751307,1965,2015-01-01T00:00:00Z,,,English,Singapore,[''],[''],[''],[''],
44292318,Q18478957,The 1989 World Tour - Live,,,,,,,,,,
47562664,Q20856810,3000 Nights,2015-01-01T00:00:00Z,,90,"Hebrew, Arabic","United Arab Emirates, Palestine, Qatar, Jordan, Lebanon, France",['drama'],[''],[''],['International Submission to the Academy Awards'],
47976539,Q21065414,3688,2015-01-01T00:00:00Z,,,"English, Standard Mandarin",Singapore,['drama'],[''],[''],[''],
46408726,Q19801713,10000 Years Later,2015-01-01T00:00:00Z,,96,Standard Mandarin,People's Republic of China,['fantasy'],[''],[''],[''],
45520382,Q19363370,A la mala,2015-01-01T00:00:00Z,3646627,106,English,Mexico,['romantic comedy'],"['5.8/10', '43%']",[''],[''],
68009586,Q107427081,A Thet Ko A Thet Htet Po Ywae Chit The,,,,,,,,,,
46273104,Q19760034,A.D. The Bible Continues,,,,,,,,,,
69805540,Q52837083,A.K.A Nadia,2015-01-01T00:00:00Z,,115,,,['drama'],[''],[''],[''],
44977912,Q18740661,Aa Te Kevi Dunniya,2015-01-01T00:00:00Z,,,Gujarati,India,['comedy'],[''],[''],[''],
48721387,Q21645980,Aaaaaaaah!,2015-01-01T00:00:00Z,,79,English,United Kingdom,['independent'],"['5.9/10', '79%']",[''],[''],
44358467,Q18398140,Aadu Oru Bheegara Jeevi Aanu,2015-01-01T00:00:00Z,,,Malayalam,India,[],[''],[''],[''],
43297873,Q17509315,Aambala,2015-01-01T00:00:00Z,,146,Tamil,India,[],[''],[''],[''],
48419019,Q21646001,Aana Mayil Ottakam,2015-11-27T00:00:00Z,,,Malayalam,India,['anthology'],[''],[''],[''],
46938373,Q20646845,Aarambha,2015-01-01T00:00:00Z,,,Kannada,India,[''],[''],[''],[''],
71500659,Q113614055,Aaranyam,,,,,,,,,,
47616655,Q20899379,Aashiqui,2015-01-01T00:00:00Z,,,Bangla,"Bangladesh, India",[''],[''],[''],[''],
47593379,Q20899380,Aatagara,2015-01-01T00:00:00Z,,129,Kannada,India,['romantic thriller'],[''],[''],[''],
53323928,Q28859402,Aathma Warusha,2015-08-27T00:00:00Z,,,Sinhala,Sri Lanka,['drama'],[''],[''],[''],
48386336,Q22315002,Aavi Kumar,2015-01-01T00:00:00Z,,,Tamil,India,['comedy horror'],[''],[''],[''],
71505966,Q115805803,Aaya Vada Sutta Kadhai,,,,,,,,,,
42446176,Q16271322,Ab Tak Chhappan 2,2015-01-01T00:00:00Z,,106,Hindi,India,['drama'],"['0%', '3.3/10']",[''],[''],
49063190,Q22075036,The Abandoned,2015-06-13T00:00:00Z,,,English,United States of America,['mystery'],"['50%', '5.6/10']",[''],[''],
48324150,Q21426976,Abby Sen,2015-01-01T00:00:00Z,,128,Bangla,India,[''],[''],[''],[''],
43455222,Q17509388,ABCD: Any Body Can Dance 2,2015-06-19T00:00:00Z,,154,Hindi,India,['musical'],"['54%', '5/10']",[''],[''],
46652953,Q19881642,Abdullah: The Final Witness,2015-01-01T00:00:00Z,,,Urdu,Pakistan,['drama'],[''],[''],[''],
49968509,Q24211427,Abeti Masikini: Le Combat d'Une Femme,2015-09-19T00:00:00Z,,,,Democratic Republic of the Congo,[''],[''],[''],[''],
42686705,Q17010616,Abhinetri,2015-01-01T00:00:00Z,,,Kannada,India,"['drama', 'biographical']",[''],[''],[''],
52742434,Q25394455,About Love,2015-01-01T00:00:00Z,,,Russian,Russia,"['melodrama', 'comedy']",[''],[''],[''],
43354298,Q18153821,About Scout,2015-01-01T00:00:00Z,,109,English,United States of America,['comedy drama'],"['6.2/10', '60%']",[''],[''],
67860913,Q31746406,Abraham (2015 film),,,,,,,,,,
34505135,Q16156329,Absolutely Anything,2015-01-01T00:00:00Z,,85,English,United Kingdom,['comedy'],"['20%', '3.8/10', '31/100']",[''],[''],
46517040,Q19954282,Absolution,2015-01-01T00:00:00Z,,96,English,United States of America,['action'],[''],[''],[''],
47058356,Q20007265,Abzurdah,2015-01-01T00:00:00Z,,90,Spanish,Argentina,"['drama', 'biographical']",[''],[''],[''],
71463625,Q56302511,The Academy of Muses,2015-01-01T00:00:00Z,,90,,Spain,[''],[''],[''],[''],
47924140,Q21010932,The Accidental Detective,2015-01-01T00:00:00Z,,120,Korean,South Korea,"['drama', 'action']",[''],[''],[''],
44984071,Q11694978,Accidental Love,2015-01-01T00:00:00Z,,100,English,United States of America,['comedy'],"['3.7', '9%', '20/100']",[''],[''],
47027676,Q20311944,Acha Dhin,2015-01-01T00:00:00Z,,,Malayalam,India,[''],[''],[''],[''],
47103468,Q20538697,Achaaram,2015-01-01T00:00:00Z,,,Tamil,India,['crime'],[''],[''],[''],
50163594,Q25136458,Across the Line,2015-09-19T00:00:00Z,,87,English,Canada,"['sport', 'drama']","['83%', '6.7/10']",[''],[''],
46297572,Q19801719,An Act of War,2015-03-31T00:00:00Z,,99,English,United States of America,['drama'],[''],[''],[''],
48441014,Q21104090,Adama (film),,,,,,,,,,
52602150,Q28173956,Ek Adbhut Dakshina Guru Dakshina,2015-04-17T00:00:00Z,,,Hindi,India,[''],[''],[''],[''],
42853308,Q17097948,The Adderall Diaries,2015-04-16T00:00:00Z,,105,English,United States of America,"['drama', 'crime', 'romance', 'thriller']","['4.6/10', '23%']",[''],[''],
46201393,Q19824669,Addicted to Fresno,2015-01-01T00:00:00Z,,85,English,United States of America,"['LGBT-related', 'comedy']","['4.2/10', '32%']",[''],[''],
48447202,Q21646020,Address Na,2015-10-01T00:00:00Z,,,Sinhala,Sri Lanka,[''],[''],[''],[''],
47103770,Q22314996,Adhibar,2015-01-01T00:00:00Z,,,Tamil,India,['action'],[''],[''],[''],
54659785,Q39047295,Adhyan,2015-10-30T00:00:00Z,,,Tamil,India,['romance'],[''],[''],[''],
47822864,Q20992319,Adi Kapyare Kootamani,2015-01-01T00:00:00Z,,,Malayalam,India,['comedy'],[''],[''],[''],
48155873,Q21095383,Admission by Guts,2015-06-19T00:00:00Z,,,Standard Mandarin,People's Republic of China,['zombie'],[''],[''],[''],
47536420,Q20856818,Adolfo Perez Esquivel: Rivers of Hope,2015-01-01T00:00:00Z,,78,,United States of America,['documentary'],[''],[''],[''],
48837439,Q21775647,Adrenaline,2015-01-01T00:00:00Z,,94,English,United States of America,"['sport', 'drama']",[''],[''],[''],
50147460,Q25206366,Adrien,2015-08-29T00:00:00Z,,97,French,Canada,['drama'],[''],[''],[''],
75445049,Q24211444,Adulterers,2015-01-01T00:00:00Z,,91,English,United States of America,['drama'],[''],[''],[''],
46912121,Q19726862,Advantageous,2015-01-01T00:00:00Z,,90,English,United States of America,['drama'],"['86%', '6.7/10']",['Sundance Special Jury Prize Dramatic'],[''],
48453074,Q21426988,Adventures of Malia,2015-01-01T00:00:00Z,,,English,India,['independent'],[''],[''],[''],
48358640,Q21203392,The Advocate: A Missing Body,2015-10-08T00:00:00Z,,117,Korean,South Korea,['action'],[''],[''],[''],
45240404,Q18959331,Aferim!,2015-01-01T00:00:00Z,,108,Romanian,"Bulgaria, Romania, Czech Republic, France","['drama', 'comedy', 'western', 'adventure', 'historical']","['98%', '7.9/10', '84/100']",[''],"[""European Film Award – People's Choice Award for Best European Film"", 'European Film Award for Best Screenwriter', 'International Submission to the Academy Awards']",1250000
46653722,Q19999929,After the Ball,2015-01-01T00:00:00Z,,101,English,Canada,['romantic comedy'],"['4.9/10', '25%']",[''],[''],
63585722,Q96371530,After the Last River,2015-01-01T00:00:00Z,,,,Canada,[''],[''],[''],[''],
50440317,Q25207424,After Words,2015-08-21T00:00:00Z,,91,,United States of America,['drama'],"['5.6/10', '44%']",[''],[''],
50508591,Q21774237,AfterDeath,2015-01-01T00:00:00Z,,88,English,United Kingdom,['horror'],[''],[''],[''],
46549152,Q19847491,Afterthought,2015-05-13T00:00:00Z,,105,Hebrew,Israel,['comedy'],[''],[''],[''],
45613517,Q20649198,Afua's Diary,2003-01-01T00:00:00Z,,,,,[''],[''],[''],[''],
46429834,Q19824578,Aga Bai Arechyaa 2,2015-01-01T00:00:00Z,,131,Marathi,India,['comedy'],[''],[''],[''],
45179511,Q18881265,Again,2015-01-01T00:00:00Z,,120,Japanese,Japan,"['sport', 'drama']",[''],[''],[''],
64056870,Q96371543,Agathinai,,,,,,,,,,
41919736,Q16242543,The Age of Adaline,2015-04-23T00:00:00Z,65663276,112,English,United States of America,"['drama', 'fantasy', 'romance', 'melodrama']","['5.5/10', '55%', '51/100']",[''],[''],25000000
43310291,Q17426151,Age of Kill,2015-01-01T00:00:00Z,,86,English,United Kingdom,"['action', 'thriller']","['0%', '2.7/10']",[''],[''],
48417286,Q21330667,Agent F.O.X.,2015-10-30T00:00:00Z,,90,Standard Mandarin,People's Republic of China,"['adventure', 'fantasy']",[''],[''],[''],
45085570,Q18811587,Agnee 2,2015-01-01T00:00:00Z,,,Bangla,Bangladesh,[],[''],[''],[''],
45020032,Q18758133,Ah Boys to Men 3: Frogmen,2015-01-01T00:00:00Z,,148,English,Singapore,['comedy drama'],[''],[''],[''],
47308517,Q20735524,Ahalya,2015-07-20T00:00:00Z,,15,Bangla,India,['thriller'],[''],[''],[''],
44836037,Q18740671,Ahetuk,2015-01-01T00:00:00Z,,,Assamese,India,[''],[''],[''],[''],
50829204,Q25218974,Ahsham,2015-12-06T00:00:00Z,,,,Maldives,['drama'],[''],[''],[''],
47864312,Q20992321,Aida,2015-01-01T00:00:00Z,,94,Moroccan Darija,Morocco,['drama'],[''],[''],['International Submission to the Academy Awards'],
42485062,Q23999257,Aimy in a Cage,2015-01-01T00:00:00Z,,79,English,United States of America,['fantasy'],"['3.7/10', '50%']",[''],[''],
46215722,Q19881782,Ain,2015-09-25T00:00:00Z,,,Malayalam,India,[''],[''],[''],[''],
47128933,Q20646860,Air,2015-01-01T00:00:00Z,,95,English,United States of America,['post-apocalyptic'],"['4.8/10', '17%', '33/100']",[''],[''],
46603942,Q19801723,Aisa Yeh Jahaan,2015-01-01T00:00:00Z,,,Hindi,India,['drama'],[''],[''],[''],
63870804,Q101244969,Aivarattam,,,,,,,,,,
49175292,Q24904978,Ajhai Pani,2015-02-01T00:00:00Z,,,Nepali,Nepal,[''],[''],[''],[''],
41910140,Q16246531,Akashangalil,2015-01-01T00:00:00Z,,,Malayalam,India,[''],[''],[''],[''],
44749626,Q19899078,Akhil,2015-11-11T00:00:00Z,,,Telugu,India,['action'],[''],[''],[''],
65556291,Q101245282,Akounak Tedalat Taha Tazoughai,2015-01-01T00:00:00Z,,,,Niger,"['drama', 'musical', 'romance']",[''],[''],[''],
55687170,Q48672779,Akron,2015-10-10T00:00:00Z,,88,English,United States of America,"['LGBT-related', 'drama', 'romance']",[''],[''],[''],
73171478,Q117149186,Al filo de la ley,2015-07-09T00:00:00Z,,105,Spanish,Peru,['action'],[''],[''],[''],
47818696,Q20992322,Al Purdy Was Here,2015-01-01T00:00:00Z,,,English,Canada,['documentary'],"['100%', '7.7/10']",[''],[''],
48987060,Q21795364,Alaska,2015-01-01T00:00:00Z,,125,Italian,"Italy, France",['drama'],[''],[''],[''],
60783664,Q65070833,Albatross,2015-06-18T00:00:00Z,,,,Iceland,['comedy drama'],[''],[''],[''],
55700998,Q43259958,Alena,2015-01-01T00:00:00Z,,83,Swedish,Sweden,"['LGBT-related', 'horror']",[''],[''],[''],
48349951,Q21198114,Alex & Eve,2015-01-01T00:00:00Z,,131,English,Australia,['comedy drama'],"['82%', '5.6/10']",[''],[''],
76102129,Q66363958,Algeria from above,2015-06-16T00:00:00Z,,88,French,"Algeria, France",['documentary'],[''],[''],[''],
55794696,Q20476212,Ali Baba and the Seven Dwarfs,2015-01-01T00:00:00Z,,,Turkish,Turkey,['comedy'],[''],[''],[''],
46682563,Q19903248,Alias Maria,2015-01-01T00:00:00Z,,91,Spanish,"Colombia, France",['drama'],[''],[''],['International Submission to the Academy Awards'],1356000
46787635,Q20001072,Alibaba and the Thief,2015-01-01T00:00:00Z,,,,People's Republic of China,"['adventure', ""children's""]",[''],[''],[''],
47550305,Q20444093,Alice In Earnestland,2015-01-01T00:00:00Z,,87,Korean,South Korea,['drama'],[''],[''],[''],
47781484,Q20967562,Alif,2015-01-01T00:00:00Z,,,Malayalam,India,[''],[''],[''],[''],
45570689,Q19570782,Aligarh,2015-01-01T00:00:00Z,,114,Hindi,India,"['drama', 'biographical', 'LGBT-related']","['100%', '8/10']",[''],[''],
54807522,Q48672466,Alike,2015-11-06T00:00:00Z,,8,,Spain,['LGBT-related'],[''],[''],[''],
45718941,Q19606233,All About Them,2015-01-01T00:00:00Z,,86,French,"France, Belgium","['romantic comedy', 'LGBT-related']",[''],[''],[''],
52540148,Q27985077,All American Bully,2015-06-23T00:00:00Z,,,English,United States of America,[''],[''],[''],[''],
56124950,Q48671377,All Esper Dayo! SP,,,,,,,,,,
69814365,Q110639828,All Hallows' Eve 2,,,,,,,,,,
51815128,Q28457609,All in Time,2015-01-01T00:00:00Z,,,English,United States of America,['romantic comedy'],[''],[''],[''],
45294132,Q19871986,All India Bakchod Knockout,2015-01-01T00:00:00Z,,,,India,[''],[''],[''],[''],
17305718,Q16246568,All Is Well,2015-01-01T00:00:00Z,,126,Hindi,India,"['comedy drama', 'romantic comedy']","['3.1/10', '10%']",[''],[''],
49777761,Q23755504,All Mistakes Buried,2015-05-31T00:00:00Z,,84,English,United States of America,"['drama', 'crime']","['7.5/10', '67%']",[''],[''],
48505161,Q21527453,All Roads Lead to Rome,2015-01-01T00:00:00Z,,90,English,"United Kingdom, United States of America","['romantic comedy', 'Christmas']","['0%', '3.8/10']",[''],[''],
47594358,Q20899388,All Saints Eve,2015-02-17T00:00:00Z,,83,English,United States of America,['horror'],[''],[''],[''],
45457285,Q19329486,All The World in a Design School,2015-01-01T00:00:00Z,,,English,Sweden,['documentary'],[''],[''],[''],
63543423,Q89312733,All Things Must Pass: The Rise and Fall of Tower Records,2015-01-01T00:00:00Z,,,,United States of America,[''],[''],[''],[''],
49206913,Q21009248,All Three of Us,2015-01-01T00:00:00Z,,102,French,France,['comedy drama'],[''],[''],[''],
51141520,Q26720471,All Through the House,2015-10-31T00:00:00Z,,88,English,United States of America,"['slasher', 'Christmas']",[''],[''],[''],
66293016,Q105043704,All Work All Play,,,,,,,,,,
48494666,Q21041673,All You Need Is Love,2015-01-01T00:00:00Z,,103,Standard Mandarin,Hong Kong,['romance'],[''],[''],[''],
48494443,Q21427010,All You Need Is Pag-Ibig,2015-01-01T00:00:00Z,,,English,Philippines,['drama'],[''],[''],[''],
43647393,Q18149246,Alleluia! The Devil's Carnival,2015-01-01T00:00:00Z,,97,English,United States of America,"['horror', 'musical']","['100%', '6.5/10']",[''],[''],
39553612,Q15078029,Aloha,2014-01-01T00:00:00Z,,105,English,United States of America,"['comedy', 'comedy drama', 'romance', 'melodrama']","['4.3/10', '20%', '40/100']",[''],[''],
43773755,Q18621824,Alone,2015-01-01T00:00:00Z,,133,Hindi,India,"['ghost', 'horror']",[''],[''],[''],
47102294,Q20649931,Karai Oram,2015-11-27T00:00:00Z,,,Tamil,India,['thriller'],[''],[''],[''],
72776474,Q116521587,Alone,2015-01-01T00:00:00Z,,92,Spanish,Peru,['drama'],[''],[''],[''],
49577228,Q23763112,It's Already Tomorrow in Hong Kong,2015-01-01T00:00:00Z,,78,English,United States of America,['romance'],"['74%', '6/10']",[''],[''],
47473870,Q20814427,Als die Sonne vom Himmel fiel,2015-01-01T00:00:00Z,,79,German,Switzerland,['documentary'],[''],[''],[''],
50441861,Q21028707,ALTO,2015-01-01T00:00:00Z,,101,English,United States of America,"['LGBT-related', 'drama', 'comedy']",[''],[''],[''],
45297718,Q19801728,Alvin and the Chipmunks: The Road Chip,2015-12-18T00:00:00Z,234798636,92,English,United States of America,"['family', 'fantasy', 'comedy', 'adventure', 'musical']","['3.6', '15%', '33/100']",[''],[''],
48132644,Q21095384,Always Watching: A Marble Hornets Story,2015-01-01T00:00:00Z,,92,English,United States of America,['horror'],[''],[''],[''],
46232048,Q19824580,Amanush 2,2015-01-01T00:00:00Z,,137,Bangla,India,['thriller'],[''],[''],[''],
40142680,Q17012063,Amar Akbar & Tony,2015-04-17T00:00:00Z,,96,English,United Kingdom,['comedy drama'],[''],[''],[''],
47380897,Q20814428,Amar Akbar Anthony,2015-01-01T00:00:00Z,,140,Malayalam,India,['comedy drama'],[''],[''],[''],
53206719,Q29101117,The Amazing Nina Simone,2015-10-15T00:00:00Z,,,English,United States of America,['documentary'],"['100%', '6.1/10']",[''],[''],
49983207,Q23692030,Amdavad Ma Famous,2015-09-01T00:00:00Z,,29,"Gujarati, Hindi",India,['documentary'],[''],['National Film Award for Best Non-Feature Film'],[''],
46936984,Q20312630,An American Girl: Grace Stirs Up Success,2015-01-01T00:00:00Z,,,English,United States of America,"[""children's""]",[''],[''],[''],
50501437,Q24231065,American Hero,2015-12-11T00:00:00Z,,86,English,United States of America,"['comedy', 'comedy drama']","['4.5/10', '30%']",[''],[''],
936030,Q151714,American Idiot,,,,,,,,,,
45275996,Q19007163,American Sharia,2015-01-01T00:00:00Z,,,English,United States of America,"['buddy', 'comedy drama']",[''],[''],[''],
41910273,Q16354845,American Ultra,2015-01-01T00:00:00Z,,96,English,"Switzerland, United States of America","['action', 'comedy thriller', 'comedy drama', 'action thriller']","['5.4/10', '44%', '50/100']",[''],[''],
45145341,Q18844635,The Amina Profile,2015-01-01T00:00:00Z,,83,,Canada,"['documentary', 'LGBT-related']","['7/10', '89%']",[''],[''],
45682830,Q19627358,Amityville Death House,2015-01-01T00:00:00Z,,,English,United States of America,['horror'],[''],[''],[''],
46412387,Q19801734,The Amityville Playhouse,2015-04-13T00:00:00Z,,103,English,United States of America,"['ghost', 'horror']",[''],[''],[''],
53377037,Q29830695,Ammakkoru Tharattu,2015-01-01T00:00:00Z,,,Malayalam,India,[''],[''],[''],[''],
46464292,Q19824581,Amnesia,2015-01-01T00:00:00Z,,96,"French, English",France,['drama'],[''],[''],[''],
48777531,Q21775654,Among the Believers,2015-01-01T00:00:00Z,,84,"English, Urdu",United States of America,['documentary'],"['7.1/10', '95%']",[''],[''],
46427022,Q19803462,Amy,2015-06-11T00:00:00Z,25000000,128,English,United Kingdom,"['documentary', 'drama', 'biographical', 'musical']","['8.4/10', '95%', '85/100']","['European Film Award for Best Documentary', 'Academy Award for Best Documentary Feature Film']","['Academy Award for Best Documentary Feature Film', 'European Film Award for Best Documentary']",3100000
44655125,Q18701897,Ana Maria in Novela Land,2015-01-01T00:00:00Z,,89,,United States of America,['romantic comedy'],"['6.1/10', '56%']",[''],[''],
46437557,Q19824582,The Anarchists,2015-01-01T00:00:00Z,,101,French,France,['drama'],[''],[''],[''],
45303278,Q19263510,Anarkali,2015-01-01T00:00:00Z,,160,Malayalam,India,[''],[''],[''],[''],
63900831,Q93665726,Andhadhi,2015-01-01T00:00:00Z,,,Tamil,India,['mystery'],[''],[''],[''],
47367235,Q20751309,Andhra Pori,2015-01-01T00:00:00Z,,,Telugu,India,[''],[''],[''],[''],
55368337,Q47088341,Andron,2015-11-08T00:00:00Z,,100,English,United Kingdom,[],"['0%', '2.5/10']",[''],[''],
40423503,Q14795365,Anegan,2015-01-01T00:00:00Z,,154,Tamil,India,['romantic thriller'],[''],[''],[''],
40977083,Q16203055,Anesthesia,2015-01-01T00:00:00Z,,90,English,United States of America,['drama'],"['4.8/10', '25%']",[''],[''],
75039264,Q123034187,Angela Markado,2015-12-02T00:00:00Z,,105,Tagalog,Philippines,"['drama', 'action', 'thriller']",[''],[''],[''],
45088033,Q18811588,Angelica,2015-01-01T00:00:00Z,,95,English,United States of America,"['horror', 'thriller']",[''],[''],[''],
63720380,Q47089260,Anger of the Dead,2015-01-01T00:00:00Z,,84,,"Italy, Canada",['horror fiction'],[''],[''],[''],
47408401,Q20751310,Angrej,2015-01-01T00:00:00Z,306800000,,Punjabi,India,['romantic comedy'],[''],[''],[''],
47646450,Q20900167,The Angrez 2,2015-01-01T00:00:00Z,,,"English, Hindi",India,[''],[''],[''],[''],
